name,gender
Arin,male
Bram,male
Corin,male
Doran,male
Eryk,male
Fenn,male
Garrik,male
Hale,male
Ivor,male
Jarek,male
Korin,male
Luth,male
Marek,male
Nash,male
Orin,male
Pavel,male
Quinn,male
Rook,male
Soren,male
Tarn,male
Ulric,male
Vance,male
Wren,male
Yorin,male
Aela,female
Bryn,female
Cira,female
Daya,female
Eris,female
Fara,female
Gwen,female
Hesta,female
Ilya,female
Jora,female
Kara,female
Lyra,female
Mira,female
Nera,female
Orla,female
Pira,female
Quora,female
Rhea,female
Syla,female
Tessa,female
Una,female
Vera,female
Wyla,female
Zara,female
Ash,neutral
Bex,neutral
Cade,neutral
Dune,neutral
Echo,neutral
Flint,neutral
Grey,neutral
Haze,neutral
Indigo,neutral
Jade,neutral
Kestrel,neutral
Lark,neutral
Moss,neutral
Nova,neutral
Onyx,neutral
Pike,neutral
Quartz,neutral
Reed,neutral
Slate,neutral
Talon,neutral
Umber,neutral
Vale,neutral
Winter,neutral
Zephyr,neutral
Alaric,male
Aldric,male
Aramic,male
Ardel,male
Aric,male
Bardek,male
Belth,male
Belthor,male
Berric,male
Borak,male
Borin,male
Borric,male
Braddic,male
Brak,male
Brakken,male
Brannic,male
Brask,male
Brath,male
Brek,male
Brekk,male
Brektar,male
Bren,male
Brenn,male
Brethar,male
Brethric,male
Brevik,male
Brot,male
Bruen,male
Brunn,male
Cael,male
Calen,male
Calric,male
Cormak,male
Corvath,male
Cravik,male
Dael,male
Dall,male
Dallric,male
Darr,male
Daven,male
Davor,male
Delv,male
Delvik,male
Dokar,male
Dornak,male
Dornic,male
Dorrik,male
Dorvath,male
Dovik,male
Draek,male
Draev,male
Drav,male
Dravik,male
Dravos,male
Drek,male
Drekken,male
Drest,male
Dresta,male
Dreth,male
Drex,male
Dromm,male
Dross,male
Drost,male
Drov,male
Druk,male
Drust,male
Drustan,male
Druven,male
Durn,male
Eldan,male
Eldor,male
Eldric,male
Ervak,male
Falk,male
Fallor,male
Falt,male
Farric,male
Feldor,male
Fenthric,male
Ferran,male
Gant,male
Garik,male
Garran,male
Garric,male
Gart,male
Garven,male
Gavrik,male
Gell,male
Gethric,male
Glav,male
Gost,male
Gostar,male
Grek,male
Grendar,male
Grenn,male
Grett,male
Grettar,male
Grol,male
Grund,male
Grunic,male
Guntar,male
Haldor,male
Halken,male
Halric,male
Harik,male
Harin,male
Harken,male
Harrok,male
Harsk,male
Havik,male
Havric,male
Hesik,male
Hesk,male
Hestric,male
Hovard,male
Hrok,male
Jeltar,male
Jennik,male
Jerrick,male
Jorath,male
Joren,male
Jorik,male
Jorvan,male
Kaelen,male
Kaelith,male
Kaelric,male
Kallad,male
Kallid,male
Kareth,male
Karn,male
Karric,male
Keld,male
Kelk,male
Kelt,male
Kethar,male
Kethric,male
Kethvar,male
Kevar,male
Kolth,male
Kolven,male
Kord,male
Korv,male
Korvan,male
Korvath,male
Korven,male
Kovan,male
Kran,male
Krast,male
Krav,male
Krek,male
Krel,male
Krethor,male
Krev,male
Krevan,male
Krevik,male
Krothven,male
Larsk,male
Lorath,male
Lorin,male
Lork,male
Lorn,male
Lornic,male
Lorth,male
Maldric,male
Mardel,male
Maren,male
Meck,male
Melthar,male
Mered,male
Mord,male
Mordak,male
Mordek,male
Mordic,male
Morik,male
Mornak,male
Morric,male
Morv,male
Morvath,male
Morven,male
Mott,male
Neth,male
Noric,male
Norric,male
Norvath,male
Norvik,male
Nykkel,male
Oren,male
Orik,male
Oth,male
Othar,male
Othric,male
Othrik,male
Ovik,male
Pael,male
Parn,male
Pekt,male
Pelk,male
Pellar,male
Pellic,male
Pelthar,male
Perric,male
Perveth,male
Portak,male
Prav,male
Prect,male
Prent,male
Pretar,male
Provith,male
Quarl,male
Ravik,male
Rend,male
Rendic,male
Reth,male
Rethar,male
Rordric,male
Roric,male
Rovar,male
Rovik,male
Ruk,male
Rund,male
Ryn,male
Sarn,male
Selik,male
Selk,male
Skall,male
Skar,male
Skaric,male
Skarik,male
Skarn,male
Skav,male
Skel,male
Skeld,male
Skelden,male
Skeln,male
Skov,male
Sorth,male
Stallik,male
Stav,male
Stavar,male
Stavik,male
Stenn,male
Stennic,male
Storric,male
Stovik,male
Strom,male
Stryke,male
Stuk,male
Talvik,male
Tark,male
Tarv,male
Tarvek,male
Thalric,male
Thalven,male
Thar,male
Tharic,male
Tharnic,male
Tharrak,male
Thas,male
Theran,male
Thok,male
Tholm,male
Thoric,male
Thorm,male
Thov,male
Thovar,male
Thrak,male
Threk,male
Thren,male
Threven,male
Thul,male
Torek,male
Torin,male
Torl,male
Torric,male
Torv,male
Torvath,male
Torven,male
Traven,male
Trennic,male
Trov,male
Tulk,male
Ulan,male
Ulvik,male
Urek,male
Vald,male
Vandor,male
Vannic,male
Varden,male
Varek,male
Varik,male
Varnik,male
Vashen,male
Vath,male
Velder,male
Veldon,male
Velk,male
Veln,male
Verrik,male
Volken,male
Vorak,male
Vord,male
Vordek,male
Voric,male
Vorn,male
Vornak,male
Vornic,male
Vorr,male
Voth,male
Vren,male
Vrenn,male
Vrentik,male
Vrok,male
Vroth,male
Vulden,male
Waren,male
Warric,male
Weth,male
Woren,male
Wynth,male
Wyth,male
Xarnik,male
Yarel,male
Yedric,male
Yorn,male
Yorvik,male
Ythel,male
Yurik,male
Yven,male
Zaren,male
Zath,male
Zelt,male
Zelthar,male
Zeth,male
Zorn,male
Adra,female
Alda,female
Axa,female
Baell,female
Belna,female
Bessa,female
Besta,female
Betha,female
Bevla,female
Bira,female
Brakka,female
Brakna,female
Brana,female
Bratha,female
Brexa,female
Brika,female
Briva,female
