"query_id","query_name","source_mod","classification","when_true","when_false","world_knowledge_topics","consumer_count"
"1531879-rebirth.mod","gorillo bandit leader alive","rebirth.mod","durable_world_fact","World state: Gorrillo is alive.","World state: Gorrillo is not alive.","Gorrillo Leader","1"
"1531881-rebirth.mod","west hive queen okay","rebirth.mod","durable_world_fact","World state: The Queen is alive.","World state: The Queen is not alive.","The Queen","12"
"1531890-rebirth.mod","Tengu ok","rebirth.mod","durable_world_fact","World state: Emperor Tengu is alive.","World state: Emperor Tengu is not alive.","Emperor Tengu | Holy Mines | Port North | Port South | Sho-Battai | The Free City","8"
"1531892-rebirth.mod","Moll is ok","rebirth.mod","durable_world_fact","World state: Moll is alive.","World state: Moll is not alive.","Blister Hill | Moll | Rebirth","8"
"1531897-rebirth.mod","flying bull is ok","rebirth.mod","durable_world_fact","World state: Flying Bull is alive.","World state: Flying Bull is not alive.","Flying Bull | Holy Mines","7"
"1532242-__May 18.mod","Flying Bull is alive","rebirth.mod","durable_world_fact","World state: Flying Bull is alive.","World state: Flying Bull is not alive.","Bad Teeth | Flying Bull | Holy Mines | New Kralia | Squin | Stack","12"
"1532243-__May 18.mod","Ghost is alive","rebirth.mod","durable_world_fact","World state: Ghost is alive.","World state: Ghost is not alive.","Ghost","4"
"1532245-__May 18.mod","Tora is alive","rebirth.mod","durable_world_fact","World state: Tora The Fearless is alive.","World state: Tora The Fearless is not alive.","Grayflayer Village | Tora the Fearless","6"
"1532247-__May 18.mod","Grimm is not alive (player not involved)","rebirth.mod","durable_world_fact","World state: Big Grim is not alive.","World state: Big Grim is alive.","Big Grim","6"
"1532248-__May 18.mod","Shade is alive","rebirth.mod","durable_world_fact","World state: Shade is alive.","World state: Shade is not alive.","Shade","4"
"1532251-__May 18.mod","Gutterhead is alive","rebirth.mod","durable_world_fact","World state: Gutterhead is alive.","World state: Gutterhead is not alive.","Gutterhead","2"
"1532252-__May 18.mod","Big Al is alive","rebirth.mod","durable_world_fact","World state: Big Al is alive.","World state: Big Al is not alive.","Big Al","5"
"1532365-Dialogue.mod","Bo, Jaegar, Grey are not alive","Dialogue.mod","durable_world_fact","World state: Tinfist is alive; Grey is not alive; Jaegar is not alive; Bo is not alive; the player was involved in at least one of these changes.",,"Bo | Grey | Jaegar | Tinfist","1"
"1532480-__May 18 2.mod","Boss Simion is alive","rebirth.mod","durable_world_fact","World state: Boss Simion is alive.","World state: Boss Simion is not alive.","Boss Simion | Port North | Sho-Battai","8"
"1532623-__world reactions.mod","Esata is alive","rebirth.mod","durable_world_fact","World state: Esata the Stone Golem is alive.","World state: Esata the Stone Golem is not alive.","Admag | Bad Teeth | Blister Hill | Esata the Stone Golem | Holy Mines | Okran's Shield | Squin | Stack","40"
"1532876-__world reactions NE.mod","Inaba is alive","rebirth.mod","durable_world_fact","World state: Lord Inaba is alive.","World state: Lord Inaba is not alive.","Drin | Lord Inaba | Stoat","12"
"1532877-__world reactions NE.mod","Lord Nagata is alive","rebirth.mod","durable_world_fact","World state: Lord Nagata is alive; the player was involved in at least one of these changes.",,"Lord Nagata | Port North | Sho-Battai","9"
"1532878-__world reactions NE.mod","Lord Yoshinaga is alive","rebirth.mod","durable_world_fact","World state: Lord Yoshinaga is alive; the player was involved in at least one of these changes.",,"Lord Yoshinaga","3"
"1532879-__world reactions NE.mod","Lady Tsugi is alive","rebirth.mod","durable_world_fact","World state: Lady Tsugi is alive.","World state: Lady Tsugi is not alive.","Brink | Lady Tsugi","3"
"1532880-__world reactions NE.mod","Lord Sanda is alive","rebirth.mod","durable_world_fact","World state: Lady Sanda is alive.","World state: Lady Sanda is not alive.","Bark | Lady Sanda","6"
"1533242-__world reactions NE.mod","All nobles are alive","rebirth.mod","durable_world_fact","World state: Lady Tsugi is alive; Lord Ohta is alive; Lady Sanda is alive; Lord Yoshinaga is alive; Lord Inaba is alive; Lord Nagata is alive.",,"Lady Sanda | Lady Tsugi | Lord Inaba | Lord Nagata | Lord Ohta | Lord Yoshinaga","5"
