query_id,world_knowledge_topics
1532243-__May 18.mod,Ghost
1532251-__May 18.mod,Gutterhead
1533825-rebirth.mod,Beep
1533826-rebirth.mod,Agnu
1533844-rebirth.mod,Beep
59782-Dialogue.mod,Shek Kingdom
59817-Dialogue.mod,Flotsam Ninjas
60730-Dialogue.mod,Grey
60731-Dialogue.mod,Jaegar
62810-rebirth.mod,Elder | Skeleton Bandits
64859-rebirth.mod,Spider Foreman | Spider Factory
66299-Dialogue.mod,Ghost
99182-Dialogue.mod,Shek Kingdom | Flotsam Ninjas
99183-Dialogue.mod,Shek Kingdom | Flotsam Ninjas
99184-Dialogue.mod,Shek Kingdom | Flotsam Ninjas
